creationtime,id,name,modifiedtime,code
2015-01-29 13:46:17:000 +0200,ExpressData|20f4999a-ca18-4658-a818-7a7997166254,顺丰速运,2015-01-30 09:06:17:000 +0200,SF
2015-01-29 13:46:17:000 +0200,ExpressData|327767cb-9fb9-422f-a8ba-ff7e606033c8,EMS,2015-01-30 09:06:17:000 +0200,EMS
2015-01-29 13:46:17:000 +0200,ExpressData|3c572b06-eca1-47b2-902d-b5af246c85a1,圆通速递,2015-01-30 09:06:17:000 +0200,YTO
2015-01-29 13:46:17:000 +0200,ExpressData|3f3cb126-ee8b-482b-b492-4f369b826bcb,宅急送,2015-01-30 09:06:17:000 +0200,ZJS
2015-01-29 13:46:17:000 +0200,ExpressData|4a7caf9b-3155-4a12-92f4-e1bc7f6897f6,百世汇通,2015-01-30 09:06:17:000 +0200,HTKY
2015-01-29 13:46:17:000 +0200,ExpressData|6f2418da-aec4-4e7d-ab99-1442c9d26ac6,中通快递,2015-01-30 09:06:17:000 +0200,ZTO
2015-01-29 13:46:17:000 +0200,ExpressData|b841a60e-206e-49d9-a781-cd572c2ddc70,韵达快递,2015-01-30 09:06:17:000 +0200,YUNDA
2015-01-29 13:46:17:000 +0200,ExpressData|e1a2998a-07d7-40d7-9e0e-7f4c05e69cb0,申通快递,2015-01-30 09:06:17:000 +0200,STO
